Event Link,Date & Time,Event Name,Location,Event Description,Attendees,Hosted By,Category
https://www.meetup.com/live-group-readings/events/304845392/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-new-chapter-injected&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T19:00:00-05:00,Live Readings by Medium Anuj Kotecha,Online,"Dec - 12th Gameshow Readings Format
Anuj will try to approach as many audience members as possible in 2 hours. Each person gets to ask a question or receive a general reading in a 10 minute window.
The audience is required to have their cameras on. If you can't join with your camera on please contact me for a private reading over the phone.See my website for more details. intuitiveyogi.ca
Join me as I share my gift, and the heartfelt and positive messages from the other side.
""Absolutely, positively, the best experience I ever had with a medium.""
""I recently had the incredible experience of connecting with Anuj, who specializes in communicating with angels, guides, and loved ones who had passed. From the very beginning, I was astounded by his ability to answer questions I hadn't even asked yet. His insights were remarkably specific, addressing concerns and curiosities I had been holding privately in my heart.""
These live readings are fun, free and interactive.",11,Anuj K.,Entertainment
https://www.meetup.com/toronto-modern-data/events/304733491/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-06T18:00:00-05:00,Toronto Modern Data Stack - December 2024 Meetup,"192 Spadina Ave. · Toronto, ON","We're thrilled to announce the 2024 Toronto Modern Data Stack Holiday Party, brought to you by the TMDS team and Artemis!
Artemis: https://artemisdata.io/
Join us for an evening of revelry and technical data content, emphasis on the former. Or the latter? Whatever floats your boat! All are welcome (but please be obsessed with data)
There will be food and beverages provided courtesy of Artemis!
Agenda:6:00-6:30: Arrivals, food, drinks6:30 - 7:30: Josh Gray (CEO Artemis data) will give a talk on building an AI analytics engineer, data observability, incident management, etc. https://www.linkedin.com/in/joshfgray
We will also do a panel/interview. TBA
8:00+: Networking",250,June W. and 4 others,Entertainment
https://www.meetup.com/metro-toronto-azure-community/events/300513492/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-12T17:00:00-05:00,Copilot Developer Camp: Toronto Edition,"81 Bay St. · Toronto, ON","**Please note that this event has a two-step registration and in order to confirm your registration and get access to the building on the event day, you must register on the Reactor Website or else you will not receive a QR code for access**
Linkto registration: https://aka.ms/CopilotDeveloperCampToronto
This is an event open to developers, ISVs, customers and partners who want to deep dive into building extensions for Copilot for Microsoft 365, one of the main topics that will be covered by the AI Tour.Join us for a free half-day workshop and delve into:👉 Microsoft 365 Copilot capabilities and its extensibility AI models👉 Various methods to develop Copilot agents leveraging Microsoft 365 Copilot's AI and orchestration👉 Creating a Custom engine agent using Azure AI Studio and Teams AI library👉 Developing a Declarative agent with a Build custom action for your agent through API plugins",126,Ehsan E. and 4 others,Business
https://www.meetup.com/torontoecomnetwork/events/304530759/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-13T19:00:00-05:00,E-Commerce Entrepreneurs Meetup 🎄 DEC 13th 🥳,"11 Lower Jarvis St · Toronto, ON","Hey Toronto Ecom Community!
We're having our next Toronto Ecom Network event on Friday, Dec 13th at the Great Lakes Brewpub!🥳 Bringing e-commerce business owners together to connect, learn, share, and help each other grow 🎉.
In this event, you can expect toexpand your entrepreneurial networkandbuild meaningful connections with your peers.
This event is suitable forall online sellers, whether you run a Direct-to-Consumer (DTC) brand on Shopify, sell on Amazon (FBA), Etsy, eBay, Walmart, or manage a store on Social Media platforms like Instagram, Facebook, or TikTok.
Event Overview:
Event Date and Location:
If you have any questions or suggestions, please reach out to the organizers!
We look forward to seeing you (again)!
Notice of photography: During the event, the hosts may take pictures and videos for promotional purposes. By attending, you consent to being photographed and/or filmed. If you prefer not to appear in any media, please notify one of the event organizers.",79,Andrew C. and Chris T.,Business
https://www.meetup.com/toronto-science-fiction-and-fantasy-writers-meetup/events/304023979/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-14T19:00:00-05:00,HOLIDAY PARTY - Toronto Sci-Fi & Fantasy Writers,"54 Dundas St E · Toronto, ON","Once again, it's time for theTORONTO SCI-FI & FANTASY WRITERS' HOLIDAY PARTY!
As always, there will be just the right amount of debauchery and mayhem as you mingle with your literary friends and foes, compete in sci-fi & fantasy trivia and chug a pint or ten of blood wine. All are welcome
Space is limited, so RSVP today.
Party starts at 7:00 p.m.Imperial Pub (back room on the first floor).",50,Peter G. R.,Entertainment
https://www.meetup.com/dbavug/events/304375143/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-online&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-11T12:00:00-05:00,SQL Server 2025: an enterprise AI-ready database platform ~ Bob Ward,Online,"WHEN:Wednesday, December 11, 2024, 1700 GMT
DESCRIPTION of TALK
Title:SQL Server 2025: an enterprise AI-ready database platformCome learn about the next release of SQL Server, SQL Server 2025, now in private preview. SQL Server 2025 has AI built-in, is powered by the industry proven database engine, and is connected with Microsoft Fabric. Be one of the first to hear more details about this exciting next chapter of SQL Server.
### Bob Ward
#### Principal Architect, Microsoft Azure Data
Bob Ward is a Principal Architect for the Microsoft Azure Data team, which owns the development for Microsoft SQL Edge to Cloud. Bob has worked for Microsoft for 30+ years on every version of SQL Server shipped from OS/2 1.1 to SQL Server 2022 including Azure SQL. Bob is a well-known speaker on SQL Server and Azure SQL, often presenting talks on new releases, internals, and specialized topics at events such as SQLBits, Microsoft Build, Microsoft Ignite, PASS Summit, DevIntersection, and VS Live. You can also learn Azure SQL from him on the popular serieshttps://aka.ms/azuresql4beginners. You can follow him at @bobwardms or linkedin.com/in/bobwardms. Bob is the author of the books Pro SQL Server on Linux, SQL Server 2019 Revealed, Azure SQL Revealed and SQL Server 2022 Revealed available from Apress Media.",433,Taiob A. and 3 others,Entertainment
https://www.meetup.com/aittg-toronto/events/304697999/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-10T17:00:00-05:00,"AI Meetup (December): AI, GenAI and LLMs Meetup","325 Front St W 4th Floor · Toronto, ON","** Important Register on theevent website(Due to room capacity and building security, you must pre-register at the link for admission)
Description:Welcome to the AI meetup in Toronto. Join us for deep dive tech talks on AI, GenAI, LLMs and machine learning, food/drink, networking with speakers and fellow developers.
Speakers/Topics:Stay tuned as we are updating speakers and schedules. If you have a keen interest in speaking to our community, we invite you to submit topics for consideration:Submit Topics
Sponsors:We are actively seeking sponsors to support AI developers community. Whether it is by offering venue spaces, providing food, or cash sponsorship. Sponsors will not only speak at the meetups, receive prominent recognition, but also gain exposure to our extensive membership base of 10,000+ AI developers in Toronto or 400K+ worldwide.
Community on Slack/Discord",32,Apriln,Entertainment
https://www.meetup.com/machine-learning-to-meetup/events/304294029/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-17T18:00:00-05:00,MLTO x Data Drinks HOLIDAY-TA PARTY 🎄🎅🎁☃️,"22 Cumberland Street · Toronto, ON","It's the most wonderful time of the year! 🎅❄️🎄🎁
In lieu of our regular monthly meeting for December, we're excited to announce a joint event between MLTO and Data Drinks (datadrinks.ca) for a festival holiday-ta party on the rooftop patio of The Pilot at Yonge & Bloor!
No speakers this month, no fixed agenda, just lots of great holiday cheer and 100% networking with the vibrant data & AI community of Toronto before the Christmas break.
Hope to see you there!",58,Myles and Mario G.,Entertainment
https://www.meetup.com/datadrinks/events/304294105/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-17T18:00:00-05:00,MLTO x Data Drinks HOLIDAY-TA PARTY,"22 Cumberland St · Toronto, ON","It's the most wonderful time of the year! 🎅❄️🎄🎁
In lieu of our regular monthly meeting for December, we're excited to announce a joint event between Data Drinks and MLTO (mlto.ca) for a festival holiday-ta party on the rooftop patio of The Pilot at Yonge & Bloor!
Just the usual amazing networking with the Toronto Data & AI community, only a little earlier this month and with lots of added holiday cheer and before the Christmas break.
Hope to see you there!",63,Robert W. and Myles,Entertainment
https://www.meetup.com/social-anxiety-and-shyness-support-group/events/301250105/?recId=7b95aac4-505b-45a8-97e5-668ebfa71935&recSource=ml-popular-events-nearby-offline&searchId=3e3d2209-5b33-4e4a-b380-db3716907279&eventOrigin=find_page$all,2024-12-07T17:00:00-05:00,Coffee meetup for shy and socially anxious people,"56 Wellesley St W · Toronto, ON","Our coffee shop meetup now takes place every other Saturday at Tim Hortons at Bay and Wellesley. Come out to meet and chat with your fellow members of the Toronto Social Anxiety Support group in a supportive environment.
IMPORTANT: This group is intended to provide a safe space for people with social anxiety who may feel inhibited in louder, more extroverted environments. Please respect the nature of this group and do not attend if you are not in this category. There are many other groups available on Meetup.
When: 5pm - 630pm
Where to meet: Tim Horton's at 56 Wellesley St West (northwest corner of Bay and Wellesley).
Reminder: Like all our events, the group's code of conduct applies. Pls make this a successful outing by being courteous and respectful in language and behaviour, and supportive towards other members, especially those with higher anxiety.
Covid/flu safety: If you are sick or have recently been exposed to someone who is sick, pls use your judgement about attending this event. You can always come to the next event when you feel better.",20,Bob,Entertainment
